Light Engines,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total,
,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost
LED-307-S00-27,0,$0.00 ,0,$0.00 ,0,$0.00 ,6,$24.80 ,2,$8.27 ,,,,,,,,,,,,,,,8,$33.07 
LED-307-S00-30,28,$115.72 ,2,$8.27 ,30,$123.98 ,20,$82.65 ,1,$4.13 ,,,,,,,,,,,,,,,81,$334.75 
LED-307-S00-35,1,$4.13 ,1,$4.13 ,10,$41.33 ,16,$66.12 ,1,$4.13 ,,,,,,,,,,,,,,,29,$119.84 
LED-307-S00-40,0,$0.00 ,0,$0.00 ,25,$103.32 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,25,$103.32 
LED-313-H00-2722,0,$0.00 ,0,$0.00 ,5,$129.63 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,5,$129.63 
LED-313-H00-3022,2,$51.85 ,0,$0.00 ,0,$0.00 ,2,$51.85 ,0,$0.00 ,,,,,,,,,,,,,,,4,$103.70 
LED-313-S00-2722,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,$25.93 ,,,,,,,,,,,,,,,1,$25.93 
LED-313-S00-3022,0,$0.00 ,1,$25.93 ,1,$25.93 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,2,$51.86 
LED-319-H00-27,0,$0.00 ,6,$69.68 ,0,$0.00 ,0,$0.00 ,2,$23.23 ,,,,,,,,,,,,,,,8,$92.91 
LED-319-H00-30,0,$0.00 ,10,$116.14 ,0,$0.00 ,1,$11.61 ,0,$0.00 ,,,,,,,,,,,,,,,11,$127.75 
LED-319-S00-30,1,$11.61 ,0,$0.00 ,4,$46.46 ,22,$255.51 ,4,$46.46 ,,,,,,,,,,,,,,,31,$360.04 
