Item ID,Rev Level,Item Name
LED-240-S01-35,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-STD CRI 3500K"
LED-240-S01-40,E,"LIGHT ENGINE-(7) CREE XPLB, 19-23V, 8-33W, .35-1.4A-STD CRI 4000K"
LED-240-S01-50,E,"LIGHT ENGINE-(7) CREE XPL-2, 19-23V, 8-33W, .35-1.4A STD CRI 5000K"
LED-243-S00-RGB30,A,LIGHT ENGINE-(27) XBD (9) XBH RGBW-RED 625nm/ GRN-530nm/BLU-455nm/3000K-STD CRI
LED-245-S00-RGB30,D,LIGHT ENGINE -(15) XBD (6) XBH RGBW-RED 625NM/ GRN- 530NM/BLU- 455NM/3000K-STD CRI
LED-250-C00-A1,C,"LIGHT ENGINE - (2X8) XPE-2 BEVELED 2.0 COLORS, 20V 590-595nm-AMBER"
LED-250-C00-G1,B,"LIGHT ENGINE - (2X8) XPE-2 BEVELED 2.0 COLORS, 30V 525-535nm-GREEN"
LED-255-H00-27,A,LIGHT ENGINE-(1) LUMILEDS 1203 HI CRI 2700K
LED-255-H00-30,A,LIGHT ENGINE-(1) LUMILEDS 1203 HI CRI 3000K
LED-255-H00-35,A,LIGHT ENGINE-(1) LUMILEDS 1203 HI CRI 3500K
LED-255-H00-40,A,LIGHT ENGINE-(1) LUMILEDS 1203 HI CRI 4000K
LED-255-S00-27,A,LIGHT ENGINE-(1) LUMILEDS 1203 STD CRI-2700K
LED-255-S00-30,A,LIGHT ENGINE-(1) LUMILEDS 1203 STD CRI 3000K
LED-255-S00-35,A,LIGHT ENGINE-(1) LUMILEDS 1203 STD CRI 3500K
LED-255-S00-40,A,LIGHT ENGINE-(1) LUMILEDS 1203 STD CRI 4000K
LED-265-S00-6022,A,"LIGHT ENGINE-(12) XPG-2, (12) XPL COLOR SELECT STD CRI 6000-2200K"
LED-267-S00-6022,A,LIGHT ENGINE-(12/12) XPL/XPG COLOR SELECT MINI STD CRI-6000-2200K
LED-273-S00-RGB30,B,LIGHT ENGINE-(27) XBD (9) XBH RGBW-RED 625nm/GRN-530nm/BLU-455nm/3000K-STD CRI
LED-274-H00-27,E,"LIGHT ENGINE (1) CXB-1310, 36V 93+CRI 2700K"
LED-274-H00-30,E,"LIGHT ENGINE (1) CXB-1310, 36V 93+CRI 3000K"
LED-274-H00-35,E,"LIGHT ENGINE (1) CXB-1310, 36V 93+CRI 3500K"
LED-274-H00-40,E,"LIGHT ENGINE (1) CXB-1310, 36V 93+CRI 4000K"
LED-274-S00-27,E,"LIGHT ENGINE (1) CXB-1310, 36V 80+CRI 2700K"
LED-274-S00-30,E,"LIGHT ENGINE (1) CXB-1310, 36V 80+CRI 3000K"
LED-274-S00-35,E,"LIGHT ENGINE (1) CXB-1310, 36V 80+CRI 3500K"
LED-274-S00-40,E,"LIGHT ENGINE (1) CXB-1310, 36V 80+CRI 4000K"
LED-275-H35-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,350mA,16W HI CRI-2700-2200K"
LED-275-H35-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,350mA,16W HI CRI-3000-2200K"
LED-275-H70-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,700mA,32W HI CRI-2700-2200K"
LED-275-H70-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,700mA,32W HI CRI-3000-2200K"
LED-275-S35-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,350mA,16W STD CRI-2700-2200K"
LED-275-S35-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,350mA,16W STD CRI-3000-2200K"
LED-275-S35-3522,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,350mA,16W STD CRI-3500-2200K"
LED-275-S70-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,700mA,32W STD CRI-2700-2200K"
LED-275-S70-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,700mA,32W STD CRI-3000-2200K"
LED-275-S70-3522,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,700mA,32W STD CRI-3500-2200K"
LED-276-H35-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 350mA,16W HI CRI-2700-2200K"
LED-276-H35-3022,H,"LIGHT ENGINE-(16) XTE  WARM GLOW DIM TECH 40V,WIDE ARRAY 350mA,16W HI CRI-3000-2200K"
LED-276-H70-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 700mA,32W HI CRI-2700-2200K"
LED-276-H70-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 700mA,32W HI CRI-3000-2200K"
LED-276-S35-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 350mA,16W STD CRI-2700-2200K"
LED-276-S35-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 350mA,16W STD CRI-3000-2200K"
LED-276-S35-3522,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 350mA,16W STD CRI-3500-2200K"
LED-276-S70-2722,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 700mA,32W STD CRI-2700-2200K"
LED-276-S70-3022,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 700mA,32W STD CRI-3000-2200K"
LED-276-S70-3522,H,"LIGHT ENGINE-(16) XTE WARM GLOW DIM TECH 40V,WIDE ARRAY 700mA,32W STD CRI-3500-2200K"
